id,original_title,release_date,poster_path,overview,title,popularity,vote_average,vote_count
11,Star Wars,1977-05-25,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,Star Wars,22.5973,8.202,21794
12,Finding Nemo,2003-05-30,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Finding Nemo,14.7825,7.817,20142
13,Forrest Gump,1994-06-23,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Forrest Gump,22.8774,8.462,29061
28,Apocalypse Now,1979-05-19,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Apocalypse Now,9.3716,8.3,8792
73,American History X,1998-07-01,/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",American History X,6.9641,8.3,12230
98,Gladiator,2000-05-04,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",Gladiator,17.7177,8.221,20368
105,Back to the Future,1985-07-03,/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",Back to the Future,22.8522,8.322,21237
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",The Lord of the Rings: The Fellowship of the Ring,32.1565,8.427,26784
121,The Lord of the Rings: The Two Towers,2002-12-18,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur.",. ,The Lord of the Rings: The Two Towers,26.2776,8.411,23245
122,The Lord of the Rings: The Return of the King,2003-12-17,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",The Lord of the Rings: The Return of the King,28.3608,8.492,25825
